,date,elev,unit,elevft
0,2013-01-01,1279.933185999984,ft,4199.25585958
1,2013-01-02,1279.9301379999843,ft,4199.245859580001
2,2013-01-03,1279.933185999984,ft,4199.25585958
3,2013-01-04,1279.9301379999843,ft,4199.245859580001
4,2013-01-05,1279.933185999984,ft,4199.25585958
5,2013-01-06,1279.9392819999841,ft,4199.2758595800005
6,2013-01-07,1279.9392819999841,ft,4199.2758595800005
7,2013-01-08,1279.9301379999843,ft,4199.245859580001
8,2013-01-09,1279.9209939999841,ft,4199.21585958
9,2013-01-10,1279.9575699999841,ft,4199.33585958
10,2013-01-11,1280.0002419999842,ft,4199.47585958
11,2013-01-12,1279.945377999984,ft,4199.29585958
12,2013-01-13,1279.936233999984,ft,4199.26585958
13,2013-01-14,1279.9301379999843,ft,4199.245859580001
14,2013-01-15,1279.936233999984,ft,4199.26585958
15,2013-01-16,1279.9392819999841,ft,4199.2758595800005
16,2013-01-17,1279.9392819999841,ft,4199.2758595800005
17,2013-01-18,1279.9392819999841,ft,4199.2758595800005
18,2013-01-19,1279.9392819999841,ft,4199.2758595800005
19,2013-01-20,1279.9392819999841,ft,4199.2758595800005
20,2013-01-21,1279.9392819999841,ft,4199.2758595800005
21,2013-01-22,1279.945377999984,ft,4199.29585958
22,2013-01-23,1279.9514739999843,ft,4199.3158595800005
23,2013-01-24,1279.9636659999842,ft,4199.3558595800005
24,2013-01-25,1279.9545219999843,ft,4199.325859580001
25,2013-01-26,1279.9484259999842,ft,4199.30585958
26,2013-01-27,1279.9850019999842,ft,4199.42585958
27,2013-01-28,1279.981953999984,ft,4199.41585958
28,2013-01-29,1279.9789059999844,ft,4199.405859580001
29,2013-01-30,1279.9606179999842,ft,4199.34585958
30,2013-01-31,1279.969761999984,ft,4199.37585958
31,2013-02-01,1279.972809999984,ft,4199.38585958
32,2013-02-02,1279.975857999984,ft,4199.39585958
33,2013-02-03,1279.9880499999842,ft,4199.43585958
34,2013-02-04,1279.981953999984,ft,4199.41585958
35,2013-02-05,1279.9910979999843,ft,4199.445859580001
36,2013-02-06,1279.9971939999841,ft,4199.46585958
37,2013-02-07,1279.9880499999842,ft,4199.43585958
38,2013-02-08,1280.0063379999842,ft,4199.495859580001
39,2013-02-09,1280.049009999984,ft,4199.63585958
40,2013-02-10,1280.0307219999843,ft,4199.575859580001
41,2013-02-11,1280.0154819999843,ft,4199.5258595800005
42,2013-02-12,1280.0032899999842,ft,4199.485859580001
43,2013-02-13,1280.0002419999842,ft,4199.47585958
44,2013-02-14,1280.0002419999842,ft,4199.47585958
45,2013-02-15,1280.0032899999842,ft,4199.485859580001
46,2013-02-16,1280.0063379999842,ft,4199.495859580001
47,2013-02-17,1280.0276739999842,ft,4199.5658595800005
48,2013-02-18,1280.009385999984,ft,4199.50585958
49,2013-02-19,1280.0154819999843,ft,4199.5258595800005
50,2013-02-20,1280.0794899999842,ft,4199.735859580001
51,2013-02-21,1280.045961999984,ft,4199.62585958
52,2013-02-22,1280.0215779999842,ft,4199.54585958
53,2013-02-23,1280.0276739999842,ft,4199.5658595800005
54,2013-02-24,1280.0520579999843,ft,4199.64585958
55,2013-02-25,1280.0032899999842,ft,4199.485859580001
56,2013-02-26,1280.033769999984,ft,4199.58585958
57,2013-02-27,1280.009385999984,ft,4199.50585958
58,2013-02-28,1280.0032899999842,ft,4199.485859580001
59,2013-03-01,1280.009385999984,ft,4199.50585958
60,2013-03-02,1280.0154819999843,ft,4199.5258595800005
61,2013-03-03,1280.0185299999844,ft,4199.535859580001
62,2013-03-04,1280.0398659999842,ft,4199.6058595800005
